sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target,state
5.8,2.8,5.5,2.0,virginica,Karnataka
4.8,3.1,1.7,0.3,setosa,Karnataka
5.0,3.6,1.5,0.3,setosa,Karnataka
4.9,3.2,1.5,0.4,setosa,Karnataka
6.0,2.6,5.5,2.2,virginica,Karnataka
6.8,3.3,5.2,2.0,virginica,Karnataka
6.6,2.8,6.5,2.2,virginica,Karnataka
5.3,2.5,4.3,1.1,versicolor,Karnataka
5.4,3.3,1.5,0.2,setosa,Karnataka
6.3,2.4,3.4,1.2,versicolor,Karnataka
5.2,3.0,1.2,0.1,setosa,Karnataka
6.2,3.0,5.1,1.2,versicolor,Karnataka
6.1,2.6,5.6,1.3,versicolor,Karnataka
4.7,3.5,1.4,0.3,setosa,Karnataka
7.6,3.1,6.6,1.9,virginica,Karnataka
6.1,3.5,4.8,1.8,virginica,Karnataka
7.2,3.3,6.3,1.9,virginica,Karnataka
4.7,3.6,1.5,0.1,setosa,Karnataka
6.6,2.3,4.5,0.9,versicolor,Karnataka
4.7,3.8,1.2,0.2,setosa,Karnataka
5.8,3.0,4.0,1.4,versicolor,Karnataka
6.4,2.7,5.0,1.2,versicolor,Karnataka
4.6,3.7,1.2,0.5,setosa,Karnataka
7.3,3.0,5.1,2.0,virginica,Karnataka
6.8,2.9,5.3,1.3,virginica,Karnataka
6.8,3.0,4.1,1.7,versicolor,Karnataka
6.9,2.8,5.0,0.9,versicolor,Karnataka
6.3,2.9,5.9,2.0,virginica,Karnataka
4.7,4.1,1.3,0.5,setosa,Karnataka
6.7,3.3,4.9,2.4,virginica,Karnataka
6.5,2.5,5.3,2.4,virginica,Karnataka
5.3,3.3,1.5,0.2,setosa,Karnataka
6.3,2.6,3.8,1.4,versicolor,Karnataka
5.5,3.0,6.4,2.0,virginica,Karnataka
4.5,4.0,1.5,0.1,setosa,Karnataka
6.3,2.6,4.0,1.4,versicolor,Karnataka
5.2,2.3,4.2,1.4,versicolor,Karnataka
4.6,4.0,1.6,0.2,setosa,Karnataka
6.0,3.3,5.0,2.4,virginica,Karnataka
5.4,3.2,1.8,0.3,setosa,Karnataka
6.3,2.9,6.3,2.2,virginica,Karnataka
5.0,3.2,1.6,0.2,setosa,Karnataka
5.9,3.0,4.8,1.4,versicolor,Karnataka
6.6,3.0,5.2,2.1,virginica,Karnataka
5.5,2.6,1.0,0.2,setosa,Karnataka
4.9,3.4,1.3,0.2,setosa,Karnataka
6.3,3.3,1.5,0.2,setosa,Karnataka
4.8,3.7,1.6,0.4,setosa,Karnataka
5.9,2.5,4.5,0.8,versicolor,Karnataka
6.7,2.9,5.8,1.7,virginica,Karnataka
6.3,3.1,4.4,1.2,versicolor,Kerala
5.4,2.5,5.9,1.9,versicolor,Kerala
6.2,3.0,5.4,1.4,versicolor,Kerala
5.9,1.9,6.1,1.3,versicolor,Kerala
5.9,2.6,6.5,1.9,virginica,Kerala
6.6,3.2,5.8,1.8,virginica,Kerala
6.5,3.5,5.6,2.2,virginica,Kerala
5.0,3.4,2.7,0.1,setosa,Kerala
6.3,2.7,6.8,1.9,virginica,Kerala
7.3,3.1,7.0,1.8,virginica,Kerala
7.1,3.2,6.4,2.0,virginica,Kerala
5.6,3.1,6.3,1.7,virginica,Kerala
4.7,3.0,2.4,0.4,setosa,Kerala
5.2,2.5,4.9,1.1,versicolor,Kerala
