sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
6.4,3.6,5.7,1.7,virginica
6.2,3.0,3.6,1.5,versicolor
4.8,3.7,1.7,0.2,setosa
6.2,3.0,5.0,1.3,versicolor
5.0,3.5,1.6,0.3,setosa
5.6,2.9,5.6,1.2,versicolor
5.8,2.8,4.0,1.5,versicolor
5.7,3.4,5.4,1.3,virginica
5.6,3.0,4.2,0.8,versicolor
4.6,3.0,1.5,0.3,setosa
4.9,3.2,1.5,0.2,setosa
4.6,2.9,1.3,0.3,setosa
6.7,2.9,4.7,1.6,virginica
7.0,2.6,4.1,1.4,versicolor
6.3,3.4,6.2,2.0,virginica
5.8,3.1,5.6,2.7,virginica
6.3,2.9,6.5,1.7,virginica
5.7,2.6,3.7,1.5,versicolor
5.3,3.8,1.7,0.2,setosa
4.8,3.3,1.2,0.3,setosa
5.4,3.6,1.5,0.5,setosa
5.6,3.1,5.9,2.1,virginica
6.0,2.4,6.3,2.5,virginica
7.6,2.8,5.0,1.9,virginica
5.1,3.5,1.1,0.1,setosa
5.7,3.1,4.3,1.5,versicolor
5.4,3.3,1.2,0.2,setosa
5.3,3.4,1.6,0.4,setosa
5.5,2.9,4.9,1.1,versicolor
5.1,3.5,1.3,0.3,setosa
5.3,3.3,1.8,0.2,setosa
5.9,2.6,5.4,1.5,virginica
5.6,3.2,3.8,1.3,versicolor
6.6,2.7,5.8,2.0,virginica
5.1,2.2,4.4,1.5,versicolor
6.0,2.8,4.4,1.5,versicolor
5.0,3.4,1.5,0.2,setosa
5.4,3.7,1.4,0.3,setosa
4.3,4.0,1.6,0.1,setosa
5.2,3.0,6.3,1.9,virginica
4.5,3.4,1.4,0.1,setosa
4.4,3.2,1.6,0.2,setosa
7.8,2.2,4.8,2.1,virginica
5.7,3.4,4.4,1.2,versicolor
5.1,2.8,1.3,0.3,setosa
4.2,3.4,1.5,0.2,setosa
6.3,3.3,4.9,1.3,versicolor
4.9,3.1,1.6,0.4,setosa
6.0,3.1,4.7,1.7,virginica
6.9,2.6,4.3,1.3,versicolor
6.1,3.0,3.6,1.2,versicolor
5.2,4.0,1.5,0.2,setosa
7.2,2.9,5.4,2.2,virginica
6.7,2.5,5.9,2.1,virginica
5.9,2.6,5.5,1.3,versicolor
5.9,2.6,4.8,1.3,versicolor
4.9,4.1,1.6,0.3,setosa
7.0,3.3,4.9,1.8,virginica
7.9,3.0,5.8,1.8,virginica
5.3,4.1,1.2,0.3,setosa
6.1,3.0,5.0,1.9,virginica
5.9,3.2,5.9,2.0,virginica
5.1,3.1,1.4,0.3,setosa
6.6,3.0,3.8,1.8,versicolor
6.1,3.4,5.4,2.0,virginica
6.2,3.2,6.2,1.9,virginica
7.8,2.5,5.6,1.9,virginica
5.5,2.7,3.6,2.0,versicolor
6.4,3.1,5.2,1.6,versicolor
6.1,2.2,3.9,1.3,versicolor
6.2,2.7,5.3,2.6,virginica
5.1,3.6,1.4,0.3,setosa
5.2,2.7,4.2,1.7,versicolor
8.0,3.2,5.2,2.3,virginica
5.8,2.6,4.4,1.2,versicolor
5.1,3.6,1.4,0.1,setosa
5.9,2.3,3.7,1.3,versicolor
5.9,3.1,4.2,1.3,versicolor
7.0,2.8,5.9,2.2,virginica
4.8,3.7,1.1,0.1,setosa
6.5,3.5,6.3,1.8,virginica
5.3,3.7,1.5,0.0,setosa
